inventory_id,store_id,title,rating,rental_rate,replacement_cost
1,1,"ACADEMY DINOSAUR",PG,0.99,20.99
2,1,"ACADEMY DINOSAUR",PG,0.99,20.99
3,1,"ACADEMY DINOSAUR",PG,0.99,20.99
4,1,"ACADEMY DINOSAUR",PG,0.99,20.99
5,2,"ACADEMY DINOSAUR",PG,0.99,20.99
6,2,"ACADEMY DINOSAUR",PG,0.99,20.99
7,2,"ACADEMY DINOSAUR",PG,0.99,20.99
8,2,"ACADEMY DINOSAUR",PG,0.99,20.99
9,2,"ACE GOLDFINGER",G,4.99,12.99
10,2,"ACE GOLDFINGER",G,4.99,12.99
11,2,"ACE GOLDFINGER",G,4.99,12.99
12,2,"ADAPTATION HOLES",NC-17,2.99,18.99
13,2,"ADAPTATION HOLES",NC-17,2.99,18.99
14,2,"ADAPTATION HOLES",NC-17,2.99,18.99
15,2,"ADAPTATION HOLES",NC-17,2.99,18.99
16,1,"AFFAIR PREJUDICE",G,2.99,26.99
17,1,"AFFAIR PREJUDICE",G,2.99,26.99
18,1,"AFFAIR PREJUDICE",G,2.99,26.99
19,1,"AFFAIR PREJUDICE",G,2.99,26.99
20,2,"AFFAIR PREJUDICE",G,2.99,26.99
21,2,"AFFAIR PREJUDICE",G,2.99,26.99
22,2,"AFFAIR PREJUDICE",G,2.99,26.99
23,2,"AFRICAN EGG",G,2.99,22.99
24,2,"AFRICAN EGG",G,2.99,22.99
25,2,"AFRICAN EGG",G,2.99,22.99
26,1,"AGENT TRUMAN",PG,2.99,17.99
27,1,"AGENT TRUMAN",PG,2.99,17.99
28,1,"AGENT TRUMAN",PG,2.99,17.99
29,2,"AGENT TRUMAN",PG,2.99,17.99
30,2,"AGENT TRUMAN",PG,2.99,17.99
31,2,"AGENT TRUMAN",PG,2.99,17.99
32,1,"AIRPLANE SIERRA",PG-13,4.99,28.99
33,1,"AIRPLANE SIERRA",PG-13,4.99,28.99
34,2,"AIRPLANE SIERRA",PG-13,4.99,28.99
35,2,"AIRPLANE SIERRA",PG-13,4.99,28.99
36,2,"AIRPLANE SIERRA",PG-13,4.99,28.99
37,2,"AIRPORT POLLOCK",R,4.99,15.99
38,2,"AIRPORT POLLOCK",R,4.99,15.99
39,2,"AIRPORT POLLOCK",R,4.99,15.99
40,2,"AIRPORT POLLOCK",R,4.99,15.99
41,1,"ALABAMA DEVIL",PG-13,2.99,21.99
42,1,"ALABAMA DEVIL",PG-13,2.99,21.99
43,1,"ALABAMA DEVIL",PG-13,2.99,21.99
44,2,"ALABAMA DEVIL",PG-13,2.99,21.99
45,2,"ALABAMA DEVIL",PG-13,2.99,21.99
46,1,"ALADDIN CALENDAR",NC-17,4.99,24.99
47,1,"ALADDIN CALENDAR",NC-17,4.99,24.99
48,1,"ALADDIN CALENDAR",NC-17,4.99,24.99
49,1,"ALADDIN CALENDAR",NC-17,4.99,24.99
50,2,"ALADDIN CALENDAR",NC-17,4.99,24.99
51,2,"ALADDIN CALENDAR",NC-17,4.99,24.99
52,2,"ALADDIN CALENDAR",NC-17,4.99,24.99
53,1,"ALAMO VIDEOTAPE",G,0.99,16.99
54,1,"ALAMO VIDEOTAPE",G,0.99,16.99
55,1,"ALAMO VIDEOTAPE",G,0.99,16.99
56,1,"ALAMO VIDEOTAPE",G,0.99,16.99
57,2,"ALAMO VIDEOTAPE",G,0.99,16.99
58,2,"ALAMO VIDEOTAPE",G,0.99,16.99
59,2,"ALAMO VIDEOTAPE",G,0.99,16.99
60,1,"ALASKA PHANTOM",PG,0.99,22.99
